売上№,売上日,得意先ｺｰﾄﾞ,得意先名,現場名,売上分類,行№,,,,,,,,,,,,
85611,190331,751,岡野消防設備株式会社                            ,神戸ポートピアホテル（16階）                    ,防災,1,,,,,,,,,,,,
85646,190331,751,岡野消防設備株式会社                            ,納品                                            ,防災,1,,,,,,,,,,,,
86990,190331,757,株式会社阪和総合防災                            ,県営住宅5件（消防設備保守点検）                 ,防災,1,,,,,,,,,,,,
85621,190331,973,株式会社大設備                                  ,インペリアル船場　設備工事                      ,防災,1,,,,,,,,,,,,
87233,190331,A09,有限会社畑野化成研究所                          ,畑野化成研究所第1工場ﾌﾟﾗﾝﾄ電源設備工事          ,電気,1,,,,,,,,,,,,
87234,190331,A09,有限会社畑野化成研究所                          ,有限会社畑野化成研究所様　設備工事              ,電気,1,,,,,,,,,,,,
87235,190331,A09,有限会社畑野化成研究所                          ,有限会社畑野化成研究所様                        ,電気,1,,,,,,,,,,,,
85640,190331,A45,雀庵　はなれ                                    ,焼き鳥はなれ                                    ,防災,1,,,,,,,,,,,,
85652,190330,15,泉州防災株式会社                                ,りんくうプレミアムアウトレット                  ,防災,1,,,,,,,,,,,,
85653,190330,15,泉州防災株式会社                                ,りんくうプレミアムアウトレット                  ,防災,1,,,,,,,,,,,,
85724,190330,38,伸和電設株式会社                                ,三菱電機　応援                                  ,防災,1,,,,,,,,,,,,
85674,190329,45,株式会社アイワライフネット                      ,セゾン8　201号室                                ,防災,1,,,,,,,,,,,,
85693,190329,45,株式会社アイワライフネット                      ,リベラルパレス堀止　105号室                     ,防災,1,,,,,,,,,,,,
85706,190329,403,鈴木電機                                        ,岩出市中迫テナントＡ棟新築工事                  ,防災,1,,,,,,,,,,,,
85742,190329,751,岡野消防設備株式会社                            ,123+Ｎ岡山本店                                  ,防災,1,,,,,,,,,,,,
85705,190328,36,有限会社紀州エンジニアリング                    ,御坊　ときわ寮　消防設備修繕工事                ,防災,1,,,,,,,,,,,,
85639,190328,141,株式会社オーティーエル                          ,(仮称)東園田Ｍ計画                              ,防災,1,,,,,,,,,,,,
85636,190328,637,生活協同組合　コープこうべ                      ,生活ｾﾝﾀｰ管理ｽﾌﾟﾘﾝｸﾗｰ設備ﾊﾞﾙﾌﾞ取替               ,電気,1,,,,,,,,,,,,
85628,190328,732,医療法人やすだ 堀口記念病院                     ,火災通報装置連動停止スイッチ取付工事            ,防災,1,,,,,,,,,,,,
85745,190328,751,岡野消防設備株式会社                            ,りんさんビル                                    ,防災,1,,,,,,,,,,,,
85714,190327,48,有限会社レインボーシステムズ                    ,ダイヤモンドプラザ　電球交換                    ,電気,1,,,,,,,,,,,,
85716,190327,48,有限会社レインボーシステムズ                    ,ワールドプラザ南海　電球交換                    ,電気,1,,,,,,,,,,,,
85643,190327,751,岡野消防設備株式会社                            ,123岡崎店                                       ,防災,1,,,,,,,,,,,,
85753,190327,751,岡野消防設備株式会社                            ,123塩屋店                                       ,防災,1,,,,,,,,,,,,
85675,190326,45,株式会社アイワライフネット                      ,サンルーカス                                    ,防災,1,,,,,,,,,,,,
85676,190326,45,株式会社アイワライフネット                      ,ストリームヴィレッジ　306号室                   ,防災,1,,,,,,,,,,,,
85634,190325,15,泉州防災株式会社                                ,りんくうプレミアムアウトレット                  ,防災,1,,,,,,,,,,,,
