"売上№=masterid,dempyounum",売上日=uriagebi,行№=num,品名=pro,単位=tani,数量=amount,単価=tanka,金額=price,備考=bik
82023,2016/7/20,101,ディアスＭ,式　,1,1922,1922,
82023,2016/7/20,102,フォーブル松南,式　,1,486,486,
82023,2016/7/20,103,ウエストヒルズ,式　,1,1296,1296,
82023,2016/7/20,104,フレグランス布施屋,式　,1,756,756,
82023,2016/7/20,105,ディアス小雑賀,式　,1,832,832,
82023,2016/7/20,106,ラ・サルデーヌ,式　,1,3175,3175,
82023,2016/7/20,107,ディアス黒江,式　,1,1296,1296,
82023,2016/7/20,108,ディアス藤本,式　,1,486,486,
82023,2016/7/20,109,ディアス藤本Ⅱ,式　,1,486,486,
82023,2016/7/20,110,ディアスウチタ,式　,1,486,486,
82023,2016/7/20,111,フレグランスうの,式　,1,1291,1291,
82023,2016/7/20,112,マイルドディアスきし,式　,1,756,756,
82023,2016/7/20,113,フレグランスⅠ,式　,1,756,756,
82023,2016/7/20,114,ディアス寿里,式　,1,1372,1372,
82023,2016/7/20,115,フレグランス宮原,式　,1,950,950,
82023,2016/7/20,116,ディアスミニ,式　,1,486,486,
82023,2016/7/20,117,ディアス一本松,式　,1,2333,2333,
82023,2016/7/20,118,ディアス名高,式　,1,486,486,
82023,2016/7/20,119,ディアス城山,式　,1,756,756,
82023,2016/7/20,120,フレグランス池尻,式　,1,486,486,
82023,2016/7/20,121,フレグランス大宮,式　,1,680,680,
82023,2016/7/20,122,楠見中ディアス,式　,1,950,950,
82023,2016/7/20,123,セフィラ　プラッツ,式　,1,756,756,
82023,2016/7/20,124,ハイツ楠,式　,1,486,486,
82023,2016/7/20,125,サニーコート,式　,1,1404,1404,
82023,2016/7/20,126,フォーレスうえだ,式　,1,1663,1663,
82023,2016/7/20,127,ハイツ萩,式　,1,680,680,
82023,2016/7/20,128,フォーレス有本,式　,1,1026,1026,
82023,2016/7/20,129,楠見中ディアスⅡ,式　,1,486,486,
82023,2016/7/20,130,ハイツ森,式　,1,1026,1026,
82023,2016/7/20,131,フォーレス花野,式　,1,1145,1145,
82023,2016/7/20,132,ディアス片男波,式　,1,756,756,
82023,2016/7/20,133,グランシード関戸,式　,1,486,486,
82023,2016/7/20,134,フレグランス小雑賀,式　,1,756,756,
82023,2016/7/20,135,グリーンルーフ塩屋,式　,1,486,486,
82023,2016/7/20,136,フレグランス南紀の台,式　,1,972,972,
82023,2016/7/20,137,グリーンルーフＣｏｃｃｏ,式　,1,486,486,
82023,2016/7/20,138,ハイツ楠Ⅱ,式　,1,486,486,
82023,2016/7/20,139,グリーンルーフ妙寺,式　,1,972,972,
82023,2016/7/20,140,シャーメゾン山中,式　,1,486,486,
82023,2016/7/20,141,シャーメゾン高松,式　,1,756,756,
82023,2016/7/20,142,メゾン雑賀,式　,1,486,486,
82023,2016/7/20,143,グリーンルーフのうがわ,式　,1,950,950,
82023,2016/7/20,144,ドエルＫ,式　,1,486,486,
82023,2016/7/20,145,シャーメゾン山崎,式　,1,1296,1296,
82023,2016/7/20,146,シャーメゾン新堂,式　,1,1836,1836,
82023,2016/7/20,147,シャーメゾン小雑賀,式　,1,1026,1026,
82023,2016/7/20,148,エクセレンス六十谷,式　,1,756,756,
82023,2016/7/20,149,シャーメゾンＨＡＭＡＩＣＨＩ,式　,1,972,972,
82023,2016/7/20,150,シャーメゾン打田,式　,1,1026,1026,
82023,2016/7/20,151,シャーメゾン堀口,式　,1,1296,1296,
82023,2016/7/20,152,シャーメゾン新堂Ⅱ,式　,1,1026,1026,
82023,2016/7/20,153,シャーメゾンキタグチ,式　,1,486,486,
82023,2016/7/20,154,セファミ荊本,式　,1,1026,1026,
82023,2016/7/20,155,フォーレスＩ＆Ｎ,式　,1,486,486,
82023,2016/7/20,156,シャーメゾンＭ,式　,1,486,486,
82023,2016/7/20,157,ヴィンヤードハウスⅢ,式　,1,486,486,
82023,2016/7/20,158,エクセレンス六十谷Ⅱ,式　,1,756,756,
82023,2016/7/20,159,ガーデンハイツ湯浅,式　,1,756,756,
82023,2016/7/20,160,ルミエール湊,式　,1,756,756,
82023,2016/7/20,161,シャーメゾン紀峰,式　,1,756,756,
82023,2016/7/20,162,グランメール福島,式　,1,756,756,
82023,2016/7/20,163,パールハイツ箕島,式　,1,680,680,
82023,2016/7/20,164,ワイズヴィラ,式　,1,540,540,
82023,2016/7/20,165,フォーレス・ノベル,式　,1,756,756,
82023,2016/7/20,166,藤栄ハイツ,式　,1,680,680,
82023,2016/7/20,167,ラ・サルデーヌⅡ,式　,1,486,486,
82023,2016/7/20,168,メゾン・ルテシィア,式　,1,486,486,
82023,2016/7/20,169,シャーメゾン下津,式　,1,680,680,
82023,2016/7/20,170,リヴェール　ヒデ,式　,1,756,756,
82023,2016/7/20,171,シャーメゾンくすの木,式　,1,1944,1944,
82023,2016/7/20,172,シャーメゾン笠松,式　,1,756,756,
82023,2016/7/20,173,サニーハイツ向島,式　,1,486,486,
82023,2016/7/20,174,パークハイツ,式　,1,486,486,
82023,2016/7/20,175,リバーサイド湯浅,式　,1,756,756,
82023,2016/7/20,176,ラガール湯浅,式　,1,486,486,
82023,2016/7/20,177,五月ハイツ,式　,1,1361,1361,
82023,2016/7/20,178,アン・セリジェ,式　,1,756,756,
82023,2016/7/20,179,ブランシェ前田,式　,1,756,756,
82023,2016/7/20,180,シャーメゾン青木,式　,1,756,756,
82023,2016/7/20,181,フォーナス,式　,1,950,950,
82023,2016/7/20,182,パレスデュオ・照（テラス）,式　,1,756,756,
82023,2016/7/20,183,シャーメゾンハーヴェスト,式　,1,756,756,
82023,2016/7/20,184,クレール松ヶ丘,式　,1,486,486,
82023,2016/7/20,185,クレール,式　,1,756,756,
82023,2016/7/20,186,アン・セリジェ　Ⅱ,式　,1,486,486,
82023,2016/7/20,187,フレグランス二里ヶ浜,式　,1,756,756,
82023,2016/7/20,188,アベニール,式　,1,756,756,
82023,2016/7/20,189,ディアス赤坂,式　,1,756,756,
82023,2016/7/20,190,カサ・フィオーレＦＧ,式　,1,756,756,
82023,2016/7/20,191,ブランシェ旭　Ａ棟,式　,1,486,486,
82023,2016/7/20,192,ブランシェ旭　Ｂ棟,式　,1,486,486,
82023,2016/7/20,193,シャーメゾン安上,式　,1,950,950,
82023,2016/7/20,194,フローラ,式　,1,756,756,
82023,2016/7/20,195,ワイズコート,式　,1,486,486,
82023,2016/7/20,196,シャーメゾン西高松,式　,1,486,486,
82023,2016/7/20,197,シャーメゾン木ノ本,式　,1,680,680,
82023,2016/7/20,198,ブランシェＳ,式　,1,680,680,
82023,2016/7/20,199,ディアスＡＫＩＨＯ,式　,1,680,680,
82023,2016/7/20,200,シャンブルＭ,式　,1,950,950,
82023,2016/7/20,201,シャーメゾン幸輝,式　,1,1145,1145,
82023,2016/7/20,202,ボナール千且,式　,1,756,756,
82023,2016/7/20,203,イマージュ浜の宮,式　,1,486,486,
82023,2016/7/20,204,ヴィラ天神崎,式　,1,918,918,
82023,2016/7/20,205,シャーメゾンフクイ,式　,1,486,486,
82023,2016/7/20,206,アヴェンヌ太田,式　,1,1102,1102,
82023,2016/7/20,207,メゾネット松島,式　,1,486,486,
82023,2016/7/20,208,シャーメゾン今福,式　,1,486,486,
82023,2016/7/20,209,イマージュ浜の宮Ⅱ,式　,1,680,680,
82023,2016/7/20,210,ＫＹＡＲＡ　ＭＡＩＳＯＮ　Ⅱ,式　,1,486,486,
82023,2016/7/20,211,シャーメゾン西浜Ａ,式　,1,680,680,
82023,2016/7/20,212,和歌浦ガーデンテラス,式　,1,1296,1296,
82023,2016/7/20,213,シャーメゾン彩都Ａ,式　,1,680,680,
82023,2016/7/20,214,シャーメゾンロイヤルヒルズⅠ,式　,1,486,486,
82023,2016/7/20,215,シャーメゾン下津野,式　,1,1145,1145,
82023,2016/7/20,216,シャーメゾン砂山南,式　,1,5800,5800,
82023,2016/7/20,217,べレオＫ,式　,1,2030,2030,
82023,2016/7/20,218,べレオ太田,式　,1,2030,2030,
82023,2016/7/20,219,シャーメゾンｂｒｉｌｌｉａｎｔ,式　,1,756,756,
82023,2016/7/20,220,べレオ新通,式　,1,2030,2030,
82023,2016/7/20,221,べレオ堀止西,式　,1,2030,2030,
82023,2016/7/20,222,ベレオ西浜ハーモニーガーデン,式　,1,3046,3046,
82023,2016/7/20,223,ヴィレッジ三年坂,式　,1,4061,4061,
82023,2016/7/20,224,ベレオ園部,式　,1,3046,3046,
82023,2016/7/20,225,ガーデンハイツⅡ,式　,1,756,756,
82021,2016/7/20,1,三木クリニック様　駐車スペース改修工事,　　,      ,         ,          ,
82021,2016/7/20,2,シャッター取替工事,式　,1,750000,750000,
82021,2016/7/20,3,庭解体工事,式　,1,300000,300000,
82021,2016/7/20,4,建具鍵及び立付け修理,式　,1,30000,30000,
82018,2016/7/19,1,ブレーカー　SW-03　200V,台　,1,3500,3500,7月19日
82067,2016/7/19,1,消防設備保守点検,　　,      ,         ,          ,
82067,2016/7/19,2,123+N大阪本店（機器点検）,式　,1,250000,250000,5/26・27
82067,2016/7/19,3,123鶴橋店・社員寮（機器点検）,式　,1,160000,160000,7/5・6
82067,2016/7/19,4,123和歌山インター店（機器点検）,式　,1,100000,100000,7月11日
82067,2016/7/19,5,123有田店（機器点検）,式　,1,40000,40000,7月19日
