"売上№=masterid,dempyounum",行№=num,品名=pro,単位=tani,数量=amount,単価=tanka,金額=price,備考=bik,売上日=uriagebi,
79559,123,楠見中ディアス                          ,式　,1,950,950,                    ,2014/11/20,
79559,124,セフィラ　ブラッツ                      ,式　,1,756,756,                    ,2014/11/20,
79559,125,ハイツ楠                                ,式　,1,486,486,                    ,2014/11/20,
79559,126,サニーコート                            ,式　,1,1404,1404,                    ,2014/11/20,
79559,127,フォーレスうえだ                        ,式　,1,1663,1663,                    ,2014/11/20,
79559,128,ハイツ萩                                ,式　,1,680,680,                    ,2014/11/20,
79559,129,フォーレス有本                          ,式　,1,1026,1026,                    ,2014/11/20,
79559,130,楠見中ディアスⅡ                        ,式　,1,486,486,                    ,2014/11/20,
79559,131,ハイツ森                                ,式　,1,1026,1026,                    ,2014/11/20,
79559,132,フォーレス花野                          ,式　,1,1145,1145,                    ,2014/11/20,
79559,133,フレグランス布引                        ,式　,1,486,486,                    ,2014/11/20,
79559,134,ディアス片男波                          ,式　,1,756,756,                    ,2014/11/20,
79559,135,グランシード関戸                        ,式　,1,486,486,                    ,2014/11/20,
79559,136,フレグランス小雑賀                      ,式　,1,756,756,                    ,2014/11/20,
79559,137,グリーンルーフ塩屋                      ,式　,1,486,486,                    ,2014/11/20,
79559,138,フレグランス南紀の台                    ,式　,1,972,972,                    ,2014/11/20,
79559,139,グリーンルーフＣｏｃｃｏ                ,式　,1,486,486,                    ,2014/11/20,
79559,140,ハイツ楠Ⅱ                              ,式　,1,486,486,                    ,2014/11/20,
79559,141,グリーンルーフ妙寺                      ,式　,1,972,972,                    ,2014/11/20,
79559,142,シャーメゾン山中                        ,式　,1,486,486,                    ,2014/11/20,
79559,143,シャーメゾン高松                        ,式　,1,756,756,                    ,2014/11/20,
79559,144,メゾン雑賀                              ,式　,1,486,486,                    ,2014/11/20,
79559,145,グリーンルーフのうがわ                  ,式　,1,950,950,                    ,2014/11/20,
79559,146,ドエルＫ                                ,式　,1,486,486,                    ,2014/11/20,
79559,147,シャーメゾン山崎                        ,式　,1,1296,1296,                    ,2014/11/20,
79559,148,シャーメゾン新堂                        ,式　,1,1836,1836,                    ,2014/11/20,
79559,149,シャーメゾン小雑賀                      ,式　,1,1026,1026,                    ,2014/11/20,
79559,150,エクセレンス六十谷                      ,式　,1,756,756,                    ,2014/11/20,
79559,151,シャーメゾンＨＡＭＡＩＣＨＩ            ,式　,1,972,972,                    ,2014/11/20,
79559,152,シャーメゾン打田                        ,式　,1,1026,1026,                    ,2014/11/20,
79559,153,シャーメゾン堀口                        ,式　,1,1296,1296,                    ,2014/11/20,
79559,154,シャーメゾン新堂Ⅱ                      ,式　,1,1026,1026,                    ,2014/11/20,
79559,155,シャーメゾンキタグチ                    ,式　,1,486,486,                    ,2014/11/20,
79559,156,セファミ荊本                            ,式　,1,1026,1026,                    ,2014/11/20,
79559,157,フォーレスＩ＆Ｎ                        ,式　,1,486,486,                    ,2014/11/20,
79559,158,シャーメゾンＭ                          ,式　,1,486,486,                    ,2014/11/20,
79559,159,ヴィンヤードハウスⅢ                    ,式　,1,486,486,                    ,2014/11/20,
79559,160,エクセレンス六十谷Ⅱ                    ,式　,1,756,756,                    ,2014/11/20,
79559,161,ガーデンハイツ湯浅                      ,式　,1,756,756,                    ,2014/11/20,
79559,162,ルミエール湊                            ,式　,1,756,756,                    ,2014/11/20,
79559,163,シャーメゾン紀峰                        ,式　,1,756,756,                    ,2014/11/20,
79559,164,グランメール福島                        ,式　,1,756,756,                    ,2014/11/20,
79559,165,パールハイツ箕島                        ,式　,1,680,680,                    ,2014/11/20,
79559,166,ワイズヴィラ                            ,式　,1,540,540,                    ,2014/11/20,
79559,167,フォーレス・ノベル                      ,式　,1,756,756,                    ,2014/11/20,
79559,168,藤栄ハイツ                              ,式　,1,680,680,                    ,2014/11/20,
79559,169,ラ・サルデーヌⅡ                        ,式　,1,486,486,                    ,2014/11/20,
