"売上№=masterid,dempyounum",売上日=uriagebi,行№=num,品名=pro,単位=tani,数量=amount,単価=tanka,金額=price,備考=bik
88463,2021/4/10,1,差動式スポット型感知器2種,個　,1,1850,1850,4月10日
88463,2021/4/10,2,定温式スポット型感知器特種,個　,3,1300,3900,〃
88463,2021/4/10,3,AE0.9-4C　電線,ｍ　,20,35,700,〃
88463,2021/4/10,4,工事費,式　,1,20000,20000,〃
88463,2021/4/10,5,試験調整費,式　,1,5000,5000,〃
88463,2021/4/10,6,消耗品雑材費,式　,1,1000,1000,〃
88463,2021/4/10,7,諸経費,式　,1,3550,3550,〃
88446,2021/4/2,1,魚谷メンタルクリニック　様,　　,      ,         ,          ,
88446,2021/4/2,2,診察室　自動火災報知器取替工事,式　,1,11000,11000,
88405,2021/3/31,1,消防設備保守点検,　　,      ,         ,          ,
88405,2021/3/31,2,マルハンぶらくり丁店（機器点検）,式　,1,25200,25200,1月13日
88405,2021/3/31,3,りんくうエルガビル（防火対象物・防災管理,式　,1,100000,100000,1月19日
88405,2021/3/31,4,ライオンズマンション中松江（機器点検）,式　,1,72000,72000,3月6日
88405,2021/3/31,5,ライオンズマンション塩屋（総合点検）,式　,1,47200,47200,3月7日
88404,2021/3/31,1,株式会社アイセン様,　　,      ,         ,          ,
88404,2021/3/31,2,本社　焼却炉給水管取替工事,　　,      ,         ,          ,
88404,2021/3/31,3,耐衝撃性硬質ﾎﾟﾘ塩化ﾋﾞﾆﾙ管(HIVP20),ｍ　,1,242,242,
88404,2021/3/31,4,耐衝撃性硬質ﾎﾟﾘ塩化ﾋﾞﾆﾙ管(HIVP25)0.5ｍ,式　,1,176,176,
88404,2021/3/31,5,継手接合材,式　,1,8393,8393,
88404,2021/3/31,6,仕切弁(GV25A),台　,1,5940,5940,
88404,2021/3/31,7,配管工費,式　,1,27500,27500,
88404,2021/3/31,8,消耗品雑材費,式　,1,3300,3300,
88404,2021/3/31,9,諸経費,式　,1,5449,5449,
88404,2021/3/31,10,　,　　,      ,         ,          ,
88404,2021/3/31,11,赤坂工場　外部汚水管修繕工事,　　,      ,         ,          ,
88404,2021/3/31,12,硬質ﾎﾟﾘ塩化ﾋﾞﾆﾙ管(VP100),ｍ　,1,1485,1485,
88404,2021/3/31,13,継手接合材,式　,1,7546,7546,
88404,2021/3/31,14,伸縮ｽﾗｲﾄﾞｿｹｯﾄ(φ100),台　,1,8019,8019,
88404,2021/3/31,15,配管取替費,式　,1,19800,19800,
88404,2021/3/31,16,足場設置費,式　,1,38500,38500,
88404,2021/3/31,17,消耗品雑材費,式　,1,6050,6050,
88404,2021/3/31,18,諸経費,式　,1,8600,8600,
88391,2021/3/31,1,(仮称)NTBすさみ新築工事,　　,      ,         ,          ,
88391,2021/3/31,2,電気設備工事,式　,1,560000,560000,12/11～3/30
88391,2021/3/31,3,　,　　,      ,         ,          ,
88391,2021/3/31,4,オークワ新宮駐車場,　　,      ,         ,          ,
88391,2021/3/31,5,防災設備更新工事,式　,1,100000,100000,
88453,2021/3/31,1,百楽分　ダクト消火設備撤去工事,式　,1,77000,77000,
88452,2021/3/31,1,消防設備整備業務委託工事,　　,      ,         ,          ,
88452,2021/3/31,2,湊幼稚園消防設備業務委託,式　,1,74000,74000,3/19～3/31
