"売上№=masterid,dempyounum",行№=num,品名=pro,単位=tani,数量=amount,単価=tanka,金額=price,備考=bik,売上日=uriagebi,
88463,1,差動式スポット型感知器2種               ,個　,1,1850,1850,4月10日,2021/4/10,
88463,2,定温式スポット型感知器特種              ,個　,3,1300,3900,〃                  ,2021/4/10,
88463,3,AE0.9-4C　電線                          ,ｍ　,20,35,700,〃                  ,2021/4/10,
88463,4,工事費                                  ,式　,1,20000,20000,〃                  ,2021/4/10,
88463,5,試験調整費                              ,式　,1,5000,5000,〃                  ,2021/4/10,
88463,6,消耗品雑材費                            ,式　,1,1000,1000,〃                  ,2021/4/10,
88463,7,諸経費                                  ,式　,1,3550,3550,〃                  ,2021/4/10,
88446,1,魚谷メンタルクリニック　様              ,　　,      ,         ,          ,                    ,2021/4/2,
88446,2,診察室　自動火災報知器取替工事          ,式　,1,11000,11000,                    ,2021/4/2,
88405,1,消防設備保守点検                        ,　　,      ,         ,          ,                    ,2021/3/31,
88405,2,マルハンぶらくり丁店（機器点検）        ,式　,1,25200,25200,1月13日,2021/3/31,
88405,3,りんくうエルガビル（防火対象物・防災管理,式　,1,100000,100000,1月19日,2021/3/31,
88405,4,ライオンズマンション中松江（機器点検）  ,式　,1,72000,72000,3月6日,2021/3/31,
88405,5,ライオンズマンション塩屋（総合点検）    ,式　,1,47200,47200,3月7日,2021/3/31,
88404,1,株式会社アイセン様                      ,　　,      ,         ,          ,                    ,2021/3/31,
88404,2,本社　焼却炉給水管取替工事              ,　　,      ,         ,          ,                    ,2021/3/31,
88404,3,耐衝撃性硬質ﾎﾟﾘ塩化ﾋﾞﾆﾙ管(HIVP20)       ,ｍ　,1,242,242,                    ,2021/3/31,
88404,4,耐衝撃性硬質ﾎﾟﾘ塩化ﾋﾞﾆﾙ管(HIVP25)0.5ｍ  ,式　,1,176,176,                    ,2021/3/31,
88404,5,継手接合材                              ,式　,1,8393,8393,                    ,2021/3/31,
88404,6,仕切弁(GV25A)                           ,台　,1,5940,5940,                    ,2021/3/31,
88404,7,配管工費                                ,式　,1,27500,27500,                    ,2021/3/31,
88404,8,消耗品雑材費                            ,式　,1,3300,3300,                    ,2021/3/31,
88404,9,諸経費                                  ,式　,1,5449,5449,                    ,2021/3/31,
88404,10,                                        ,　　,      ,         ,          ,                    ,2021/3/31,
88404,11,赤坂工場　外部汚水管修繕工事            ,　　,      ,         ,          ,                    ,2021/3/31,
88404,12,硬質ﾎﾟﾘ塩化ﾋﾞﾆﾙ管(VP100)                ,ｍ　,1,1485,1485,                    ,2021/3/31,
88404,13,継手接合材                              ,式　,1,7546,7546,                    ,2021/3/31,
88404,14,伸縮ｽﾗｲﾄﾞｿｹｯﾄ(φ100)                    ,台　,1,8019,8019,                    ,2021/3/31,
88404,15,配管取替費                              ,式　,1,19800,19800,                    ,2021/3/31,
88404,16,足場設置費                              ,式　,1,38500,38500,                    ,2021/3/31,
88404,17,消耗品雑材費                            ,式　,1,6050,6050,                    ,2021/3/31,
88404,18,諸経費                                  ,式　,1,8600,8600,                    ,2021/3/31,
88391,1,(仮称)NTBすさみ新築工事                 ,　　,      ,         ,          ,                    ,2021/3/31,
88391,2,電気設備工事                            ,式　,1,560000,560000,12/11～3/30         ,2021/3/31,
88391,3,                                        ,　　,      ,         ,          ,                    ,2021/3/31,
88391,4,オークワ新宮駐車場                      ,　　,      ,         ,          ,                    ,2021/3/31,
88391,5,防災設備更新工事                        ,式　,1,100000,100000,                    ,2021/3/31,
88453,1,百楽分　ダクト消火設備撤去工事          ,式　,1,77000,77000,                    ,2021/3/31,
88452,1,消防設備整備業務委託工事                ,　　,      ,         ,          ,                    ,2021/3/31,
88452,2,湊幼稚園消防設備業務委託                ,式　,1,74000,74000,3/19～3/31          ,2021/3/31,
88452,3,吹上小学校外2校消防設備整備業務委託     ,式　,1,385000,385000,〃                  ,2021/3/31,
88452,4,川永小学校外4校消防設備整備業務委託     ,式　,1,198000,198000,〃                  ,2021/3/31,
88452,5,木本小学校外4校消防設備整備業務委託     ,式　,1,375000,375000,〃                  ,2021/3/31,
88452,6,楠見中学校外1校消防設備整備業務委託     ,式　,1,114000,114000,〃                  ,2021/3/31,
88402,1,消防設備保守点検                        ,　　,      ,         ,          ,                    ,2021/3/31,
88402,2,Ｄ－Ｒｏｏｍ出島（総合点検）            ,式　,1,34040,34040,3/26、3/27          ,2021/3/31,
88418,1,消防設備保守点検                        ,　　,      ,         ,          ,                    ,2021/3/31,
88418,2,焼肉三国一海南店（総合点検）            ,式　,1,24000,24000,3月1日,2021/3/31,
88418,3,U-Carプラザ和歌山インター店（総合点検） ,式　,1,25000,25000,3月11日,2021/3/31,
88418,4,ぱん工房かたつむり（総合点検）          ,式　,1,20000,20000,3月16日,2021/3/31,
88418,5,おかし工房桜和（総合点検）              ,式　,1,20000,20000,〃                  ,2021/3/31,
88418,6,ミラック（総合点検）                    ,式　,1,18000,18000,3月25日,2021/3/31,
88459,1,志茂合繊メリヤス㈱                      ,　　,      ,         ,          ,                    ,2021/3/31,
88459,2,消防設備修理工事                        ,式　,1,404000,404000,                    ,2021/3/31,
88439,1,納品                                    ,　　,      ,         ,          ,                    ,2021/3/31,
88439,2,表示灯                                  ,個　,1,1500,1500,3月31日,2021/3/31,
88392,1,ＡＬＬＡＧＩ堺店                        ,　　,      ,         ,          ,                    ,2021/3/31,
88392,2,消防設備工事                            ,式　,1,921000,921000,2/8～3/30           ,2021/3/31,
88392,3,消火器処分費                            ,本　,6,800,4800,〃                  ,2021/3/31,
88454,1,粉末ABC10型消火器                       ,本　,3,4500,13500,                    ,2021/3/31,
88454,2,処分費                                  ,本　,3,1000,3000,                    ,2021/3/31,
88454,3,※4/8実施                               ,　　,      ,         ,          ,                    ,2021/3/31,
88450,1,消防設備保守点検                        ,　　,      ,         ,          ,                    ,2021/3/31,
88450,2,スーパーエバグリーン広陵店（機器点検）  ,式　,1,24000,24000,3月31日,2021/3/31,
88396,1,123＋Nはりまや橋店                      ,　　,      ,         ,          ,                    ,2021/3/31,
88396,2,駐車場4階西・4階東                      ,　　,      ,         ,          ,                    ,2021/3/31,
88396,3,自動火災報知設備断線修理工事            ,式　,1,1000000,1000000,2/4～3/12           ,2021/3/31,
88396,4,                                        ,　　,      ,         ,          ,                    ,2021/3/31,
88396,5,消防設備保守点検後不備改修工事          ,式　,1,113000,113000,3月31日,2021/3/31,
88399,1,123+N岡山本店                           ,　　,      ,         ,          ,                    ,2021/3/31,
88399,2,防火シャッター鍵　調査及び納品          ,式　,1,100000,100000,                    ,2021/3/31,
88400,1,123有田店                               ,　　,      ,         ,          ,                    ,2021/3/31,
88400,2,仮設工事                                ,式　,1,273000,273000,                    ,2021/3/31,
88401,1,ホームズ尼崎店                          ,　　,      ,         ,          ,                    ,2021/3/31,
88401,2,自動火災報知設備更新工事                ,式　,1,14000000,14000000,3/30消検            ,2021/3/31,
88437,1,消防設備保守点検                        ,　　,      ,         ,          ,                    ,2021/3/31,
88437,2,123座間店（総合点検）                   ,式　,1,160000,160000,2月18日,2021/3/31,
88437,3,〃　　　（防火対象物点検）              ,式　,1,50000,50000,〃                  ,2021/3/31,
88437,4,ふくちぁんラーメン（総合点検）          ,式　,1,24000,24000,2月22日,2021/3/31,
88437,5,123松原店・立駐・レストコーナー(総合点検,式　,1,100000,100000,〃                  ,2021/3/31,
88437,6,〃　　　（防火対象物点検）              ,式　,1,40000,40000,〃                  ,2021/3/31,
88437,7,NESTA RESOAT KOBE（機器点検）           ,式　,1,1300000,1300000,2/24～3/4           ,2021/3/31,
88437,8,延田ビル（機器点検）                    ,式　,1,60000,60000,2月27日,2021/3/31,
88437,9,旭物流第8倉庫（機器点検）               ,式　,1,50000,50000,3月3日,2021/3/31,
88437,10,123大林店（機器点検）                   ,式　,1,60000,60000,3月4日,2021/3/31,
88437,11,123南昭和店（総合点検）                 ,式　,1,135000,135000,3月5日,2021/3/31,
88437,12,〃　　　（防火対象物点検）              ,式　,1,40000,40000,〃                  ,2021/3/31,
88437,13,123+N和歌山本店・立駐（機器点検）       ,式　,1,100000,100000,〃                  ,2021/3/31,
88437,14,123堺インター店・駐車場（総合点検）     ,式　,1,100000,100000,3月9日,2021/3/31,
88437,15,〃　　　（防火対象物点検）              ,式　,1,40000,40000,〃                  ,2021/3/31,
88437,16,123松茂店（機器点検）                   ,式　,1,90000,90000,〃                  ,2021/3/31,
88437,17,123上板店（機器点検）                   ,式　,1,55000,55000,3月12日,2021/3/31,
88445,1,123南昭和店                             ,　　,      ,         ,          ,                    ,2021/3/31,
88445,2,消防設備保守点検後不備改修工事          ,」式,1,50000,50000,3月31日,2021/3/31,
88451,1,123南昭和店                             ,　　,      ,         ,          ,                    ,2021/3/31,
88451,2,立体駐車場3階　発信機中継器取替工事     ,式　,1,35000,35000,                    ,2021/3/31,
88420,1,コメリパワー新宮店新築工事              ,　　,      ,         ,          ,                    ,2021/3/31,
88420,2,契約金額\45000000の内出来高最終請求     ,式　,1,6000000,6000000,                    ,2021/3/31,
88420,3,機械設備工事                            ,式　,1,6900000,6900000,                    ,2021/3/31,
88465,1,JOYFIT　東大阪　原状復旧工事            ,　　,      ,         ,          ,                    ,2021/3/31,
88465,2,本体工事                                ,式　,1,1100000,1100000,3/1～3/31           ,2021/3/31,
88465,3,追加工事                                ,式　,1,322000,322000,〃                  ,2021/3/31,
88465,4,誘導灯工事                              ,式　,1,40000,40000,〃                  ,2021/3/31,
88465,5,メーター工事                            ,式　,1,50000,50000,〃                  ,2021/3/31,
88460,1,消防設備保守点検                        ,　　,      ,         ,          ,                    ,2021/3/31,
88460,2,表参道インベスメントビル（機器点検）    ,式　,1,210080,210080,3/15・3/16          ,2021/3/31,
88460,3,〃　　　（防火対象物点検）              ,式　,1,80000,80000,〃                  ,2021/3/31,
88435,1,済生会千里病院                          ,　　,      ,         ,          ,                    ,2021/3/30,
88435,2,既設品　移設　撤去　復旧工事            ,　　,      ,         ,          ,                    ,2021/3/30,
88435,3,ガス回収                                ,台　,3,12500,37500,                    ,2021/3/30,
88435,4,室内機移設                              ,台　,2,45000,90000,                    ,2021/3/30,
88435,5,チャックバルブ取付                      ,個　,4,8500,34000,                    ,2021/3/30,
88435,6,冷媒管ヘッダー上げドレン配管復旧        ,式　,1,25000,25000,                    ,2021/3/30,
