"売上№=masterid,dempyounum",売上日=uriagebi,行№=num,品名=pro,単位=tani,数量=amount,単価=tanka,金額=price,備考=bik
86265,2019/9/20,15,フロントパディーⅡ,式　,1,724,724,
86265,2019/9/20,16,キャラ21,式　,1,810,810,
86265,2019/9/20,17,シャーメゾン名高,式　,1,2030,2030,
86265,2019/9/20,18,シャーメゾン尾崎,式　,1,1458,1458,
86265,2019/9/20,19,シャーメゾン有田,式　,1,810,810,
86265,2019/9/20,20,シャーメゾン中島,式　,1,756,756,
86265,2019/9/20,21,グリーンルーフ,式　,1,648,648,
86265,2019/9/20,22,グリーンルーフ,式　,1,648,648,
86265,2019/9/20,23,タウニィ寿里,式　,1,1296,1296,
86265,2019/9/20,24,フォーブル木ノ本,式　,1,1145,1145,
86265,2019/9/20,25,ラベニュー城山,式　,1,756,756,
86265,2019/9/20,26,フレグランス吹上,式　,1,486,486,
86265,2019/9/20,27,メゾン南方,式　,1,1026,1026,
86265,2019/9/20,28,ラベニュー岩橋,式　,1,1145,1145,
86265,2019/9/20,29,タウニー山村,式　,1,756,756,
86265,2019/9/20,30,ラベニュー谷口,式　,1,1296,1296,
86265,2019/9/20,31,タウニィ酒井,式　,1,680,680,
86265,2019/9/20,32,フレグランス畑屋敷,式　,1,486,486,
86265,2019/9/20,33,フォーブル苗代,式　,1,680,680,
86265,2019/9/20,34,フォーブル若葉,式　,1,756,756,
86265,2019/9/20,35,フォーブル松見,式　,1,1296,1296,
86265,2019/9/20,36,ラベニューコスモ,式　,1,756,756,
86265,2019/9/20,37,タウニィ紀ノ川,式　,1,680,680,
86265,2019/9/20,38,タウニィ料理松,式　,1,1102,1102,
86265,2019/9/20,39,アメニティ太田,式　,1,756,756,
86265,2019/9/20,40,タウニィ清水,式　,1,756,756,
86265,2019/9/20,41,タウニィ浜代,式　,1,950,950,
86265,2019/9/20,42,タウニィ浜代2,式　,1,680,680,
86265,2019/9/20,43,フォーブルさち,式　,1,1372,1372,
86265,2019/9/20,44,タウニィ美園,式　,1,680,680,
86265,2019/9/20,45,フレグランス松江,式　,1,486,486,
86265,2019/9/20,46,セキワガーデンハウス春日,式　,1,950,950,
86265,2019/9/20,47,ラベニュー根来,式　,1,680,680,
86265,2019/9/20,48,シローズフレグランス,式　,1,756,756,
86265,2019/9/20,49,ドミールクルス,式　,1,1296,1296,
86265,2019/9/20,50,グリーンビレッジ21,式　,1,2106,2106,
86265,2019/9/20,51,サニーハイツひまわり,式　,1,1296,1296,
86265,2019/9/20,52,パールハイツ有田,式　,1,950,950,
86265,2019/9/20,53,フレグランス小林,式　,1,486,486,
86265,2019/9/20,54,フレグランス延時,式　,1,486,486,
86265,2019/9/20,55,フレグランス畑毛,式　,1,1296,1296,
86265,2019/9/20,56,フレグランス藤井,式　,1,756,756,
86265,2019/9/20,57,フレグランス山崎,式　,1,1145,1145,
86265,2019/9/20,58,フレグランス森澤,式　,1,1296,1296,
86265,2019/9/20,59,フレグランス中松江,式　,1,680,680,
86265,2019/9/20,60,ガーデンハイツ箕島,式　,1,680,680,
86265,2019/9/20,61,アドザックス吉田,式　,1,486,486,
86265,2019/9/20,62,石津ハイツ,式　,1,1026,1026,
86265,2019/9/20,63,フォーブル石野,式　,1,756,756,
86265,2019/9/20,64,フレグランス翠,式　,1,2311,2311,
86265,2019/9/20,65,アドザックス吉田Ｂ棟,式　,1,486,486,
86265,2019/9/20,66,マリポーサ前田,式　,1,486,486,
86265,2019/9/20,67,フレグランス巴,式　,1,1458,1458,
86265,2019/9/20,68,フレグランス堀止,式　,1,486,486,
86265,2019/9/20,69,フレグランス六十谷,式　,1,756,756,
86265,2019/9/20,70,フレグランス木ノ本,式　,1,486,486,
86265,2019/9/20,71,フレグランス今吉,式　,1,1145,1145,
86265,2019/9/20,72,フレグランス矢野,式　,1,1026,1026,
86265,2019/9/20,73,フレグランス平田,式　,1,486,486,
86265,2019/9/20,74,フレグランス築港,式　,1,486,486,
86265,2019/9/20,75,フレグランス松ヶ丘,式　,1,486,486,
86265,2019/9/20,76,フレグランス秋桜,式　,1,486,486,
86265,2019/9/20,77,フレグランス船所,式　,1,1145,1145,
86265,2019/9/20,78,フレグランス雑賀,式　,1,950,950,
86265,2019/9/20,79,フレグランスロゼ,式　,1,2095,2095,
86265,2019/9/20,80,グラン・ファーム,式　,1,1145,1145,
86265,2019/9/20,81,フレグランス栄,式　,1,1026,1026,
86265,2019/9/20,82,City　Kinomoto,式　,1,950,950,
86265,2019/9/20,83,フレグランスせせらぎ,式　,1,486,486,
