"売上№=masterid,dempyounum",売上日=uriagebi,行№=num,品名=pro,単位=tani,数量=amount,単価=tanka,金額=price,備考=bik
79559,2014/11/20,122,フレグランス大宮,式　,1,680,680,
79559,2014/11/20,123,楠見中ディアス,式　,1,950,950,
79559,2014/11/20,124,セフィラ　ブラッツ,式　,1,756,756,
79559,2014/11/20,125,ハイツ楠,式　,1,486,486,
79559,2014/11/20,126,サニーコート,式　,1,1404,1404,
79559,2014/11/20,127,フォーレスうえだ,式　,1,1663,1663,
79559,2014/11/20,128,ハイツ萩,式　,1,680,680,
79559,2014/11/20,129,フォーレス有本,式　,1,1026,1026,
79559,2014/11/20,130,楠見中ディアスⅡ,式　,1,486,486,
79559,2014/11/20,131,ハイツ森,式　,1,1026,1026,
79559,2014/11/20,132,フォーレス花野,式　,1,1145,1145,
79559,2014/11/20,133,フレグランス布引,式　,1,486,486,
79559,2014/11/20,134,ディアス片男波,式　,1,756,756,
79559,2014/11/20,135,グランシード関戸,式　,1,486,486,
79559,2014/11/20,136,フレグランス小雑賀,式　,1,756,756,
79559,2014/11/20,137,グリーンルーフ塩屋,式　,1,486,486,
79559,2014/11/20,138,フレグランス南紀の台,式　,1,972,972,
79559,2014/11/20,139,グリーンルーフＣｏｃｃｏ,式　,1,486,486,
79559,2014/11/20,140,ハイツ楠Ⅱ,式　,1,486,486,
79559,2014/11/20,141,グリーンルーフ妙寺,式　,1,972,972,
79559,2014/11/20,142,シャーメゾン山中,式　,1,486,486,
79559,2014/11/20,143,シャーメゾン高松,式　,1,756,756,
79559,2014/11/20,144,メゾン雑賀,式　,1,486,486,
79559,2014/11/20,145,グリーンルーフのうがわ,式　,1,950,950,
79559,2014/11/20,146,ドエルＫ,式　,1,486,486,
79559,2014/11/20,147,シャーメゾン山崎,式　,1,1296,1296,
79559,2014/11/20,148,シャーメゾン新堂,式　,1,1836,1836,
79559,2014/11/20,149,シャーメゾン小雑賀,式　,1,1026,1026,
79559,2014/11/20,150,エクセレンス六十谷,式　,1,756,756,
79559,2014/11/20,151,シャーメゾンＨＡＭＡＩＣＨＩ,式　,1,972,972,
79559,2014/11/20,152,シャーメゾン打田,式　,1,1026,1026,
79559,2014/11/20,153,シャーメゾン堀口,式　,1,1296,1296,
79559,2014/11/20,154,シャーメゾン新堂Ⅱ,式　,1,1026,1026,
79559,2014/11/20,155,シャーメゾンキタグチ,式　,1,486,486,
79559,2014/11/20,156,セファミ荊本,式　,1,1026,1026,
79559,2014/11/20,157,フォーレスＩ＆Ｎ,式　,1,486,486,
79559,2014/11/20,158,シャーメゾンＭ,式　,1,486,486,
79559,2014/11/20,159,ヴィンヤードハウスⅢ,式　,1,486,486,
79559,2014/11/20,160,エクセレンス六十谷Ⅱ,式　,1,756,756,
79559,2014/11/20,161,ガーデンハイツ湯浅,式　,1,756,756,
79559,2014/11/20,162,ルミエール湊,式　,1,756,756,
79559,2014/11/20,163,シャーメゾン紀峰,式　,1,756,756,
79559,2014/11/20,164,グランメール福島,式　,1,756,756,
79559,2014/11/20,165,パールハイツ箕島,式　,1,680,680,
79559,2014/11/20,166,ワイズヴィラ,式　,1,540,540,
79559,2014/11/20,167,フォーレス・ノベル,式　,1,756,756,
79559,2014/11/20,168,藤栄ハイツ,式　,1,680,680,
79559,2014/11/20,169,ラ・サルデーヌⅡ,式　,1,486,486,
79559,2014/11/20,170,メゾン・ルテシィア,式　,1,486,486,
79559,2014/11/20,171,シャーメゾン下津,式　,1,680,680,
79559,2014/11/20,172,リヴェール　ヒデ,式　,1,756,756,
79559,2014/11/20,173,シャーメゾンくすの木,式　,1,1944,1944,
79559,2014/11/20,174,シャーメゾン笠松,式　,1,756,756,
79559,2014/11/20,175,パークハイツ,式　,1,486,486,
79559,2014/11/20,176,サニーハイツ向島,式　,1,486,486,
79559,2014/11/20,177,リバーサイド湯浅,式　,1,756,756,
79559,2014/11/20,178,ラガール湯浅,式　,1,486,486,
79559,2014/11/20,179,五月ハイツ,式　,1,1361,1361,
79559,2014/11/20,180,アン・セリジェ,式　,1,756,756,
79559,2014/11/20,181,ブランシェ前田,式　,1,756,756,
79559,2014/11/20,182,シャーメゾン青木,式　,1,756,756,
79559,2014/11/20,183,フォーナス,式　,1,950,950,
79559,2014/11/20,184,パレスデュオ・照（テラス）,式　,1,756,756,
79559,2014/11/20,185,シャーメゾンハーヴェスト,式　,1,756,756,
79559,2014/11/20,186,クレール松ヶ丘,式　,1,486,486,
79559,2014/11/20,187,クレール,式　,1,756,756,
79559,2014/11/20,188,アン・セリジェ　Ⅱ,式　,1,486,486,
79559,2014/11/20,189,フレグランス二里ヶ浜,式　,1,756,756,
79559,2014/11/20,190,アベニール,式　,1,756,756,
79559,2014/11/20,191,ディアス赤坂,式　,1,756,756,
79559,2014/11/20,192,カサ・フィオーレＦＧ,式　,1,756,756,
79559,2014/11/20,193,ブランシェ旭　Ａ棟,式　,1,486,486,
79559,2014/11/20,194,ブランシェ旭　Ｂ棟,式　,1,486,486,
79559,2014/11/20,195,シャーメゾン安上,式　,1,950,950,
79559,2014/11/20,196,フローラ,式　,1,756,756,
79559,2014/11/20,197,ワイズコート,式　,1,486,486,
79559,2014/11/20,198,シャーメゾン西高松,式　,1,486,486,
79559,2014/11/20,199,シャーメゾン木ノ本,式　,1,680,680,
79559,2014/11/20,200,ブランシェＳ,式　,1,680,680,
79559,2014/11/20,201,ディアスＡＫＩＨＯ,式　,1,680,680,
79559,2014/11/20,202,シャーメゾン岸宮,式　,1,486,486,
79559,2014/11/20,203,シャンブルＭ,式　,1,950,950,
79559,2014/11/20,204,シャーメゾン幸輝,式　,1,1145,1145,
79559,2014/11/20,205,ボナール千且,式　,1,756,756,
79559,2014/11/20,206,イマージュ浜の宮,式　,1,486,486,
79559,2014/11/20,207,ヴィラ天神崎,式　,1,918,918,
79559,2014/11/20,208,シャーメゾンフクイ,式　,1,486,486,
